pclass,survived,age,sibsp,parch,fare,sex_male,title_Col,title_Countess,title_Don,title_Dr,title_Major,title_Master,title_Miss,title_Mlle,title_Mme,title_Mr,title_Ms,title_Rev,cabin_Yes,embarked_Q,embarked_S
1,1,-0.03900548789716409,0,0,3.4425841256384593,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,-2.215952172928478,1,2,2.286638695933064,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,-2.131977485342104,1,2,2.286638695933064,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0.03851199348968552,1,2,2.286638695933064,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,-0.34907541344456255,1,2,2.286638695933064,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.4338266584529786,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,2.5965888792557226,1,0,0.8637996530018405,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0.7361693259713321,0,0,-0.6434642498641783,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.8214140653872266,2,0,0.35184657539009684,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,3.2167287303505194,0,0,0.3136614660667741,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1.356309177066129,1,0,3.7555570153454396,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,-0.8916977831525099,1,0,3.7555570153454396,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.42659289483141216,0,0,0.6963980671516508,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,-0.27155793205771295,0,0,0.8810399881834136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,3.914386062832166,0,0,-0.06343727280104884,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,-0.1165229692840137,0,0,-0.14222427051879058,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,-0.42659289483141216,0,1,4.14216046294407,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1.588861621226678,0,1,4.14216046294407,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.19354695626338475,0,0,0.831577221002727,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0.5036168818107832,0,0,0.8112762768055172,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.5811343631976328,1,1,0.3726308754015257,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.356309177066129,1,1,0.3726308754015257,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,-0.27155793205771295,0,0,-0.06343727280104884,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.9687217701318809,0,0,3.7555570153454396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,-0.03900548789716409,0,0,3.644466381851795,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,-0.34907541344456255,0,0,-0.14077420307613278,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,-0.34907541344456255,1,0,1.1174821851134278,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.8141803017656603,1,0,1.1174821851134278,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.4260994004239336,0,0,1.9789015164057067,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,-0.1165229692840137,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1.2012742142924298,0,0,0.042901006327191564,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0.8136868073581817,0,0,-0.04410304023227786,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.03851199348968552,0,0,2.544106870781617,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,2.2090014723214746,0,0,-0.1301403751633087,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0.9687217701318809,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.2012742142924298,0,0,4.429355020367108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,-0.5816278576051114,0,1,0.4199185414182257,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,-0.1165229692840137,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.8912042887450313,0,0,-0.05377015651666335,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1.4338266584529786,0,0,0.3328332910819675,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,-0.1165229692840137,0,0,0.12217135985915262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1.1237567329055802,0,0,-0.10750385567179166,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,2.2865189537083244,2,0,0.35184657539009684,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,2.364036435095174,0,0,0.831577221002727,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.8912042887450313,0,0,1.9569900306355188,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,1.2012742142924298,0,0,-0.1301403751633087,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,-0.1165229692840137,0,0,-0.04410304023227786,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0.9687217701318809,0,0,-0.13521561121261108,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.8214140653872266,0,0,-0.11282076962820371,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0.5036168818107832,0,1,9.262027654708204,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,2.2090014723214746,0,1,9.262027654708204,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0.27106443765023436,0,0,-0.5467930870203234,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,-0.1165229692840137,0,0,0.267178104124935,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,-0.9692152645393595,0,0,0.267178104124935,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,-1.4343201528604572,1,2,1.6766436583883395,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,1,-1.2017677086999083,1,2,1.6766436583883395,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,0.5036168818107832,1,2,1.6766436583883395,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0.5036168818107832,1,2,1.6766436583883395,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1.5113441398398282,0,0,-0.14077420307613278,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,-0.1165229692840137,0,0,-0.10750385567179166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0.5036168818107832,1,0,0.8810399881834136,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,3.6043161372847674,1,0,0.8810399881834136,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1.2787916956792793,1,0,0.5393074275303865,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.356309177066129,1,0,0.5393074275303865,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,-0.1940404506708633,1,0,0.38318349953756087,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0.27106443765023436,1,0,0.38318349953756087,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0.5036168818107832,0,0,4.429355020367108,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0.03851199348968552,0,0,1.0289468673345117,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,1.2012742142924298,0,0,-0.06923754257168015,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.1165229692840137,0,1,0.4199185414182257,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,-0.1165229692840137,0,0,-0.6434642498641783,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,-0.1940404506708633,1,0,2.0010566135062615,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.27155793205771295,1,0,2.0010566135062615,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.5816278576051114,0,0,2.286638695933064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,-0.1165229692840137,0,0,0.36191584371191277,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1.356309177066129,0,0,-0.14874957401075084,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,0.7361693259713321,1,1,0.9643376623594496,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0.5811343631976328,1,1,0.9643376623594496,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,2.6741063606425723,0,2,0.9643376623594496,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1.976449028160926,2,0,-0.1465744728467641,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,-0.1165229692840137,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,3.13921124896367,1,1,0.7292662625185614,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,0.5036168818107832,0,2,0.7292662625185614,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,2.6741063606425723,1,1,-0.1301403751633087,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0.7361693259713321,1,0,0.7347436506052942,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.6586518445844824,1,0,0.7347436506052942,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1.6663791026135275,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,-0.1940404506708633,0,0,-0.05377015651666335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0.27106443765023436,0,0,2.286638695933064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.11602947487653514,1,0,0.36191584371191277,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,-0.1940404506708633,1,2,0.36191584371191277,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0.11602947487653514,1,0,0.4585870065557677,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,-0.9692152645393595,1,0,0.4585870065557677,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.8214140653872266,1,1,0.9392031600200474,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,1,-1.9769425225684045,0,2,0.9392031600200474,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,1,1.8989315467740764,1,1,0.9392031600200474,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1.588861621226678,1,0,1.4141814512672737,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,-0.1940404506708633,1,1,4.14216046294407,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1.4338266584529786,1,0,1.4141814512672737,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1.4338266584529786,1,0,0.12217135985915262,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1.5113441398398282,1,0,0.45721814288989876,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0.7361693259713321,0,0,-0.06923754257168015,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.5041103762182618,0,1,0.9643376623594496,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0.6586518445844824,0,0,3.7555570153454396,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,1.8989315467740764,1,0,0.8697623303260495,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0.5036168818107832,0,0,-0.030971229471568575,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,-0.1165229692840137,0,0,3.644466381851795,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,-0.1165229692840137,0,0,-0.03089195911803666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,-0.1165229692840137,0,0,1.5003792603286255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0.5036168818107832,0,0,-0.13328218795573402,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0.03851199348968552,0,0,-0.10693929608078355,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.42659289483141216,3,2,4.44143891572259,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,-0.1165229692840137,3,2,4.44143891572259,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,-0.5041103762182618,3,2,4.44143891572259,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,-0.8141803017656603,3,2,4.44143891572259,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,2.6741063606425723,1,4,4.44143891572259,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,2.364036435095174,1,4,4.44143891572259,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0.03851199348968552,0,0,0.45721814288989876,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,-0.1165229692840137,0,0,-0.1301403751633087,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,1,1.588861621226678,2,0,1.9405559329520634,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1.0462392515187307,1,0,-0.10750385567179166,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,-0.1165229692840137,1,0,1.9405559329520634,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,-0.5816278576051114,0,2,0.3135802622899853,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
